Breck Eisner: Mean_cast=25.666666, Mean_crew=91.666664
Hironobu Sakaguchi: Mean_cast=9, Mean_crew=44
Peter Weir: Mean_cast=21, Mean_crew=53.75
Bill Condon: Mean_cast=27.2, Mean_crew=48.8
Louis Leterrier: Mean_cast=27.833334, Mean_crew=41.5
Alejandro González Iñárritu: Mean_cast=37.166668, Mean_crew=52.333332
David Soren: Mean_cast=12, Mean_crew=11
Paul Greengrass: Mean_cast=64.85714, Mean_crew=91.57143
Mark Osborne: Mean_cast=23, Mean_crew=9.5
Peyton Reed: Mean_cast=40.25, Mean_crew=59
Tim Johnson: Mean_cast=12, Mean_crew=32.5
Phillip Noyce: Mean_cast=24.88889, Mean_crew=26.88889
Darren Aronofsky: Mean_cast=29.166666, Mean_crew=56.333332
Alfonso Cuarón: Mean_cast=37.75, Mean_crew=86.25
Ralph Zondag: Mean_cast=10, Mean_crew=18
Tom McGrath: Mean_cast=23, Mean_crew=14
Chris Columbus: Mean_cast=37.454544, Mean_crew=47.636364
Robert Schwentke: Mean_cast=28.5, Mean_crew=43.833332
Carlos Saldanha: Mean_cast=25.75, Mean_crew=14
Guy Ritchie: Mean_cast=25.857143, Mean_crew=39.142857
Paul Verhoeven: Mean_cast=18.4, Mean_crew=31.6
John McTiernan: Mean_cast=28.8, Mean_crew=42.5
Tony Gilroy: Mean_cast=27.333334, Mean_crew=42
Joel Schumacher: Mean_cast=16.615385, Mean_crew=32.692307
John Woo: Mean_cast=22.142857, Mean_crew=55
Tim Story: Mean_cast=27.285715, Mean_crew=24.142857
Mark Steven Johnson: Mean_cast=12, Mean_crew=30
Neill Blomkamp: Mean_cast=37.333332, Mean_crew=82
David Twohy: Mean_cast=15.5, Mean_crew=84.75
José Padilha: Mean_cast=13, Mean_crew=34
James L. Brooks: Mean_cast=28.666666, Mean_crew=54.333332
James Mangold: Mean_cast=25.75, Mean_crew=58.5
George Lucas: Mean_cast=58.4, Mean_crew=16.8
Thomas Langmann: Mean_cast=26, Mean_crew=23
Cedric Nicolas-Troyan: Mean_cast=42, Mean_crew=7
Roger Donaldson: Mean_cast=27.142857, Mean_crew=43
Dave Green: Mean_cast=26, Mean_crew=36.5
Josh Trank: Mean_cast=18.5, Mean_crew=95
Brad Peyton: Mean_cast=24.333334, Mean_crew=59.333332
Roger Spottiswoode: Mean_cast=14.5, Mean_crew=22.25
Steven Soderbergh: Mean_cast=23.6, Mean_crew=43.266666
Rob Letterman: Mean_cast=35, Mean_crew=24
Michel Gondry: Mean_cast=14, Mean_crew=15.25
Noam Murro: Mean_cast=42, Mean_crew=89
Raja Gosnell: Mean_cast=17, Mean_crew=50.5
Will Finn: Mean_cast=21, Mean_crew=76
Jan de Bont: Mean_cast=24.8, Mean_crew=64.6
Len Wiseman: Mean_cast=24, Mean_crew=76.666664
Frank Coraci: Mean_cast=28.571428, Mean_crew=31.571428
Michael Mann: Mean_cast=35.833332, Mean_crew=72.833336
Bo Welch: Mean_cast=11, Mean_crew=16
Ron Clements: Mean_cast=25, Mean_crew=79.333336
Peter Chelsom: Mean_cast=14.2, Mean_crew=18
Dominic Sena: Mean_cast=31, Mean_crew=24.333334
Tony Scott: Mean_cast=21.666666, Mean_crew=37.083332
Paul Weitz: Mean_cast=26.8, Mean_crew=14.8
Adam McKay: Mean_cast=36.5, Mean_crew=23
Chuck Russell: Mean_cast=17.833334, Mean_crew=39.166668
Quentin Tarantino: Mean_cast=46, Mean_crew=76.625
Gary Trousdale: Mean_cast=16, Mean_crew=51.5
Mark Dindal: Mean_cast=13.333333, Mean_crew=39.666668
Simon West: Mean_cast=21.875, Mean_crew=39.25
Stefen Fangmeier: Mean_cast=15, Mean_crew=26
Spike Jonze: Mean_cast=24, Mean_crew=18.5
Chris Wedge: Mean_cast=21, Mean_crew=46.333332
Florian Henckel von Donnersmarck: Mean_cast=39.5, Mean_crew=36.5
Peter Hyams: Mean_cast=17.666666, Mean_crew=69
Tom Tykwer: Mean_cast=27.6, Mean_crew=45
Pitof: Mean_cast=58, Mean_crew=162
Brad Silberling: Mean_cast=21, Mean_crew=19.75
Patrick Hughes: Mean_cast=31, Mean_crew=85
Ericson Core: Mean_cast=14, Mean_crew=144
Lawrence Guterman: Mean_cast=7.5, Mean_crew=11.5
Ron Underwood: Mean_cast=15, Mean_crew=18.333334
Steve Martino: Mean_cast=25.5, Mean_crew=14.5
